P,T,N2,O2,Ar,y_N2,y_O2,y_Ar,x_N2,x_O2,x_Ar,vap_rho,liq_rho,vap_etlp,liq_etlp,vap_F,liq_F
563.9586992,-173.6941617,0.632408423,0.365256918,0.002334659,0.807029972,0.191380283,0.001589745,0.625596536,0.372039746,0.002363718,0.787303417,28.05607961,-5947.565008,-11198.80622,0.020858237,0.534697319
563.9586992,-173.6390646,0.621216682,0.354081948,0.02470137,0.798124152,0.185124723,0.016751125,0.616514458,0.358572853,0.024912689,0.786688766,28.10149701,-5922.672532,-11164.17775,0.014384401,0.541171155
563.9586992,-173.6390646,0.621216682,0.357806938,0.02097638,0.799104096,0.186681876,0.014214028,0.617253948,0.361619029,0.021127022,0.786694553,28.09939518,-5926.499452,-11170.63034,0.012106225,0.54344933
563.9586992,-173.6390646,0.621216682,0.361531928,0.01725139,0.800084549,0.18823447,0.011680982,0.617992189,0.364656002,0.017351809,0.786700334,28.09729188,-5930.320493,-11177.06793,0.009837783,0.545717773
563.9586992,-173.6390646,0.621216682,0.365256918,0.0135264,0.801065531,0.189782575,0.009151894,0.618729205,0.367683892,0.013586903,0.786706109,28.09518705,-5934.135792,-11183.49075,0.007579027,0.547976529
563.9586992,-173.6390646,0.624947262,0.354081948,0.02097079,0.799068,0.186624614,0.014307386,0.617226738,0.361507016,0.021266245,0.78669434,28.09947261,-5926.358628,-11170.39298,0.023587496,0.531968059
563.9586992,-173.6390646,0.624947262,0.357806938,0.0172458,0.800055232,0.188188123,0.011756645,0.617970138,0.364565349,0.017464513,0.786700161,28.09735477,-5930.206352,-11176.8757,0.02128774,0.534267815
563.9586992,-173.6390646,0.624947262,0.361531928,0.01352081,0.801042947,0.189746995,0.009210059,0.618712255,0.367614305,0.01367344,0.786705976,28.09523551,-5934.048044,-11183.34309,0.018997859,0.536557697
563.9586992,-173.6390646,0.624947262,0.365256918,0.00979582,0.802031166,0.191301302,0.006667532,0.619453115,0.370654008,0.009892877,0.786711785,28.09311478,-5937.883843,-11189.79537,0.016717804,0.538837752
563.9586992,-173.6390646,0.628677843,0.354081948,0.017240209,0.800025508,0.188141127,0.011833365,0.61794778,0.364473426,0.017578795,0.786699986,28.09741854,-5930.090619,-11176.68079,0.032739568,0.522815987
563.9586992,-173.6390646,0.628677843,0.357806938,0.013515219,0.801020051,0.189710921,0.009269028,0.618695072,0.367543752,0.013761176,0.786705842,28.09528464,-5933.959082,-11183.19338,0.030418124,0.525137431
563.9586992,-173.6390646,0.628677843,0.361531928,0.009790229,0.802015052,0.191276,0.006708948,0.619441048,0.370604528,0.009954425,0.786711691,28.09314936,-5937.821358,-11189.6903,0.0281067,0.527448855
563.9586992,-173.6390646,0.628677843,0.365256918,0.006065239,0.803010531,0.192836438,0.00415303,0.620185733,0.37365588,0.006158387,0.786717534,28.09101266,-5941.677589,-11196.17177,0.025805245,0.52975031
563.9586992,-173.6390646,0.632408423,0.354081948,0.013509629,0.800996838,0.189674343,0.009328819,0.618677648,0.367472214,0.013850137,0.786705705,28.09533445,-5933.868881,-11183.04159,0.041839853,0.513715702
563.9586992,-173.6390646,0.632408423,0.357806938,0.009784639,0.801998715,0.191250348,0.006750937,0.619428813,0.370554363,0.010016824,0.786711595,28.09318442,-5937.75801,-11189.58378,0.039496622,0.516058934
563.9586992,-173.6390646,0.632408423,0.361531928,0.006059649,0.803001023,0.192821559,0.004177418,0.620178628,0.373626786,0.006194586,0.786717478,28.09103307,-5941.640793,-11196.10995,0.037163558,0.518391998
563.9586992,-173.6390646,0.632408423,0.365256918,0.002334659,0.804003783,0.194388053,0.001608164,0.620927119,0.376689613,0.002383268,0.786723355,28.08888036,-5945.517377,-11202.62033,0.034840609,0.520714947
564.0413008,-173.7492587,0.628677843,0.354081948,0.017240209,0.806268459,0.182177973,0.011553568,0.627526154,0.355196758,0.017277088,0.787995314,28.0299692,-5934.599908,-11169.21291,0.003579606,0.55197595
564.0413008,-173.7492587,0.628677843,0.357806938,0.013515219,0.807239519,0.183710299,0.009050182,0.628261677,0.358212697,0.013525626,0.788001046,28.02786756,-5938.378296,-11175.61269,0.001291797,0.554263758
564.0413008,-173.7492587,0.632408423,0.354081948,0.013509629,0.807216492,0.183674022,0.009109486,0.628244254,0.3581413,0.013614446,0.78800091,28.0279174,-5938.288784,-11175.46114,0.012926179,0.542629376
564.0413008,-173.7492587,0.632408423,0.357806938,0.009784639,0.808194844,0.185212708,0.006592447,0.628983697,0.361169473,0.00984683,0.788006677,28.02579981,-5942.088,-11181.89123,0.010616669,0.544938886
564.0413008,-173.7492587,0.632408423,0.361531928,0.006059649,0.809173651,0.18674686,0.00407949,0.629721845,0.36418841,0.006089745,0.788012437,28.02368108,-5945.881284,-11188.30617,0.008317237,0.547238319
564.0413008,-173.7492587,0.632408423,0.365256918,0.002334659,0.810152933,0.188276547,0.001570519,0.630458724,0.367198235,0.002343041,0.788018191,28.02156115,-5949.668775,-11194.70616,0.00602783,0.549527726
564.0413008,-173.6941617,0.624947262,0.354081948,0.02097079,0.802259036,0.183605986,0.014134979,0.622098935,0.356820466,0.0210806,0.787408182,28.0649881,-5928.688814,-11166.59832,0.008783322,0.546772233
564.0413008,-173.6941617,0.624947262,0.357806938,0.0172458,0.80323438,0.185150439,0.011615181,0.622836386,0.359851149,0.017312465,0.787413942,28.06288637,-5932.490808,-11173.02375,0.006500676,0.549054879
564.0413008,-173.6941617,0.624947262,0.361531928,0.01352081,0.804210219,0.186690385,0.009099396,0.623572582,0.362872702,0.013554715,0.787419696,28.0607833,-5936.286975,-11179.43428,0.004227863,0.551327693
564.0413008,-173.6941617,0.624947262,0.365256918,0.00979582,0.805186573,0.188225894,0.006587533,0.624307548,0.365885246,0.009807207,0.787425444,28.05867885,-5940.077453,-11185.83012,0.001964833,0.553590723
564.0413008,-173.6941617,0.628677843,0.354081948,0.017240209,0.803204782,0.185103648,0.011691571,0.622814031,0.359759335,0.017426634,0.787413768,28.06295015,-5932.375544,-11172.82902,0.018058981,0.537496574
564.0413008,-173.6941617,0.628677843,0.357806938,0.013515219,0.804187416,0.18665446,0.009158125,0.623555398,0.362802216,0.013642386,0.787419562,28.06083244,-5936.198355,-11179.28468,0.015754698,0.539800858
564.0413008,-173.6941617,0.628677843,0.361531928,0.009790229,0.805170518,0.188200688,0.006628793,0.624295476,0.365835795,0.009868729,0.787425349,28.05871345,-5940.015187,-11185.7251,0.013460388,0.542095168
564.0413008,-173.6941617,0.628677843,0.365256918,0.006065239,0.806154112,0.189742404,0.004103484,0.625034291,0.368860196,0.006105514,0.787431131,28.05659313,-5943.82618,-11192.1505,0.011176002,0.544379553
564.0413008,-173.6941617,0.632408423,0.354081948,0.013509629,0.804164294,0.186618029,0.009217677,0.623537972,0.362730739,0.01373129,0.787419425,28.06088228,-5936.108491,-11179.13299,0.027283004,0.528272552
564.0413008,-173.6941617,0.632408423,0.357806938,0.009784639,0.805154241,0.188175131,0.006670628,0.624283236,0.365785656,0.009931108,0.787425254,28.05874854,-5939.952056,-11185.61862,0.024956974,0.530598582
564.0413008,-173.6941617,0.632408423,0.361531928,0.006059649,0.806144632,0.189727571,0.004127797,0.625027178,0.368831098,0.006141724,0.787431075,28.05661356,-5943.789487,-11192.08866,0.022641063,0.532914492
564.0413008,-173.6941617,0.632408423,0.365256918,0.002334659,0.807135487,0.191275423,0.00158909,0.625769824,0.37186719,0.002362986,0.78743689,28.05447731,-5947.620926,-11198.54335,0.02033522,0.535220335
564.0413008,-173.6390646,0.621216682,0.354081948,0.02470137,0.798232513,0.185023282,0.016744205,0.616688376,0.358406699,0.024904925,0.786822114,28.09989521,-5922.737867,-11163.92806,0.013857378,0.541698177
564.0413008,-173.6390646,0.621216682,0.357806938,0.02097638,0.799212034,0.186579801,0.014208165,0.617427661,0.361451882,0.021120456,0.7868279,28.09779383,-5926.563196,-11170.37853,0.011579716,0.543975839
564.0413008,-173.6390646,0.621216682,0.361531928,0.01725139,0.800192064,0.188131766,0.01167617,0.618165699,0.364487871,0.01734643,0.786833681,28.09569098,-5930.382653,-11176.81403,0.009311786,0.546243769
