Place	P	T	L	V	x_N2	x_O2	x_Ar	y_N2	y_O2	y_Ar	LiqEtlp	LiqRho	LiqMass	VapEtlp	VapRho	VapMass
26__Main Tower	538.512195121951	-178.157454234355	2216.38026732139	3486.66968017972	0.999527692977687	3.06913457990712E-05	0.000441615676513832	0.999750294710746	1.26829047789999E-05	0.000237022384475103	-10914.5361025213	25.6324265302612	28.0183935383676	-6095.81365581895	0.793972442642356	28.0158799175006
26__Main Tower	538.512195121951	-178.151346665477	2126.77635235999	3488.78607488799	0.998697699451711	9.18568944690618E-05	0.00121044365382	0.999312227522392	3.79711989525867E-05	0.00064980127865575	-10913.6737728381	25.6369571298761	28.0278133683453	-6094.95512731671	0.793901124778829	28.0209072585861
26__Main Tower	538.512195121951	-178.134108179252	2035.034477819	3488.13002709449	0.99636607303759	0.00029941250328518	0.00333451445912463	0.998084987334065	0.000123881410783107	0.00179113125515226	-10911.7506482719	25.650630681937	28.0539916804346	-6092.56545571387	0.793699689411918	28.0348715573955
26__Main Tower	538.512195121951	-178.088982224385	1940.80782542064	3483.87431229901	0.990342908118063	0.00109582030800712	0.00856127157392958	0.994939065985207	0.000454482521024553	0.00460645149376892	-10907.2796214265	25.6861780004649	28.1195483113062	-6086.58070346355	0.793173896606693	28.0697905147748
26__Main Tower	538.512195121951	-177.983294822641	1844.21900720142	3478.66477094104	0.976868582180387	0.00508190834412111	0.0180495094754925	0.988127030399625	0.00211939562369481	0.00975357397668039	-10901.4656831598	25.7675272336051	28.2486829747451	-6074.80204779371	0.791949539440313	28.1378594364042
26__Main Tower	538.512195121951	-177.513924050224	1728.92441923785	3457.26852324812	0.925241971219938	0.0497203561564643	0.0250376726235974	0.964897085152147	0.0212385364613132	0.0138643783865399	-10934.6105012547	26.1039168774579	28.5100601811462	-6051.36346229696	0.786618031470272	28.2631498978653
26__Main Tower	538.512195121951	-175.608705981014	1530.03865161355	3346.14466504542	0.737802846101415	0.249325163855437	0.0128719900431476	0.874058176931413	0.117981478993253	0.00796034407533491	-11122.2143125011	27.3854986899795	29.160687013674	-5990.87327057983	0.765926897218581	28.5783993048902
26__Main Tower	538.512195121951	-175.375631228436	1439.70170212493	3346.40174401408	0.716469879581871	0.271645332589584	0.0118847878285455	0.862252131438865	0.130293129925205	0.00745473863593047	-11142.3625942977	27.5339053531448	29.2378952557316	-5983.14289966564	0.763492457830873	28.6214514495307
26__Main Tower	538.512195121951	-178.1574549214	2216.3067208112	3486.55969805046	0.999527786738796	3.06849158580329E-05	0.000441528345346063	0.999750344199941	1.26802481556128E-05	0.000236975551903125	-10914.5361407208	25.6324258414339	28.0183924704338	-6095.81375518781	0.793972450862779	28.0158793479619
26__Main Tower	538.512195121951	-178.151350157822	2126.76512035033	3488.7378353351	0.998698173746486	9.18211311780605E-05	0.00121000512233626	0.999312477807162	3.79564083801043E-05	0.000649565784457334	-10913.6741764049	25.6369543539155	28.0278079918832	-6094.95562159576	0.793901165915929	28.0209043889925
