Filename	MaxTestError	Order
fitting_models/HPCAllTrays28Cstm.py	1.306101e-07	1
fitting_models/HPCAllTrays28Cstm.py	1.538166e-07	1
fitting_models/HPCAllTrays28Cstm.py	4.059505e-04	1
fitting_models/HPCAllTrays28Cstm.py	7.993621e-04	1
fitting_models/HPCAllTrays29Cstm.py	3.156348e-07	1
fitting_models/HPCAllTrays29Cstm.py	7.895970e-08	1
fitting_models/HPCAllTrays29Cstm.py	1.216751e-07	1
fitting_models/HPCAllTrays29Cstm.py	3.066008e-04	1
fitting_models/HPCAllTrays29Cstm.py	5.312806e-04	1
fitting_models/HPCAllTrays30Cstm.py	2.759422e-07	1
fitting_models/HPCAllTrays30Cstm.py	7.231057e-08	1
fitting_models/HPCAllTrays30Cstm.py	1.134474e-07	1
fitting_models/HPCAllTrays30Cstm.py	1.738407e-04	1
fitting_models/HPCAllTrays30Cstm.py	5.413711e-04	1
fitting_models/HPCAllTrays31Cstm.py	1.390646e-07	1
fitting_models/HPCAllTrays31Cstm.py	3.702492e-08	1
fitting_models/HPCAllTrays31Cstm.py	6.081785e-08	1
fitting_models/HPCAllTrays31Cstm.py	1.863187e-04	1
fitting_models/HPCAllTrays31Cstm.py	2.871414e-04	1
fitting_models/HPCAllTrays32Cstm.py	1.438632e-07	1
fitting_models/HPCAllTrays32Cstm.py	3.794980e-08	1
fitting_models/HPCAllTrays32Cstm.py	6.181836e-08	1
fitting_models/HPCAllTrays32Cstm.py	1.526561e-04	1
fitting_models/HPCAllTrays32Cstm.py	2.636443e-04	1
fitting_models/HPCAllTrays33Cstm.py	1.437046e-07	1
fitting_models/HPCAllTrays33Cstm.py	3.408641e-08	1
fitting_models/HPCAllTrays33Cstm.py	5.463976e-08	1
fitting_models/HPCAllTrays33Cstm.py	1.438849e-04	1
fitting_models/HPCAllTrays33Cstm.py	2.893557e-04	1
fitting_models/HPCAllTrays34Cstm.py	1.386252e-07	1
fitting_models/HPCAllTrays34Cstm.py	3.292135e-08	1
fitting_models/HPCAllTrays34Cstm.py	6.379231e-08	1
fitting_models/HPCAllTrays34Cstm.py	1.368112e-04	1
fitting_models/HPCAllTrays34Cstm.py	2.714154e-04	1
fitting_models/HPCAllTrays35Cstm.py	1.535141e-07	1
fitting_models/HPCAllTrays35Cstm.py	3.841989e-08	1
fitting_models/HPCAllTrays35Cstm.py	5.665965e-08	1
fitting_models/HPCAllTrays35Cstm.py	1.190149e-04	1
fitting_models/HPCAllTrays35Cstm.py	2.614005e-04	1
fitting_models/HPCAllTrays36Cstm.py	1.255724e-07	1
fitting_models/HPCAllTrays36Cstm.py	3.557000e-08	1
fitting_models/HPCAllTrays36Cstm.py	6.209308e-08	1
fitting_models/HPCAllTrays36Cstm.py	1.629262e-04	1
fitting_models/HPCAllTrays36Cstm.py	2.719215e-04	1
fitting_models/HPCAllTrays37Cstm.py	1.360795e-07	1
fitting_models/HPCAllTrays37Cstm.py	3.388730e-08	1
fitting_models/HPCAllTrays37Cstm.py	6.454944e-08	1
fitting_models/HPCAllTrays37Cstm.py	1.505974e-04	1
fitting_models/HPCAllTrays37Cstm.py	3.152534e-04	1
fitting_models/HPCAllTrays38Cstm.py	3.192425e-08	1
fitting_models/HPCAllTrays38Cstm.py	2.771503e-07	1
fitting_models/HPCAllTrays38Cstm.py	1.348920e-08	1
fitting_models/HPCAllTrays38Cstm.py	3.028589e-05	1
fitting_models/HPCAllTrays38Cstm.py	6.521595e-05	1
fitting_models/HPCAllTrays39Cstm.py	2.651240e-08	1
fitting_models/HPCAllTrays39Cstm.py	2.503368e-08	1
fitting_models/HPCAllTrays39Cstm.py	9.847280e-09	1
fitting_models/HPCAllTrays39Cstm.py	1.215233e-04	1
fitting_models/HPCAllTrays39Cstm.py	2.676318e-04	1
fitting_models/HPCAllTrays40Cstm.py	2.511694e-08	1
fitting_models/HPCAllTrays40Cstm.py	2.417007e-08	1
fitting_models/HPCAllTrays40Cstm.py	1.111060e-08	1
fitting_models/HPCAllTrays40Cstm.py	1.824405e-04	1
fitting_models/HPCAllTrays40Cstm.py	3.543544e-04	1
fitting_models/HPCAllTrays41Cstm.py	2.830905e-08	1
fitting_models/HPCAllTrays41Cstm.py	3.826382e-08	1
fitting_models/HPCAllTrays41Cstm.py	1.136755e-08	1
fitting_models/HPCAllTrays41Cstm.py	2.148726e-04	1
fitting_models/HPCAllTrays41Cstm.py	4.644406e-04	1
fitting_models/HPCAllTrays42Cstm.py	7.009078e-09	1
fitting_models/HPCAllTrays42Cstm.py	1.026980e-09	1
fitting_models/HPCAllTrays42Cstm.py	2.707728e-09	1
fitting_models/HPCAllTrays42Cstm.py	6.212932e-06	1
fitting_models/HPCAllTrays42Cstm.py	2.137101e-05	1
fitting_models/HPCCondSelfCstm.py	2.350909e-09	1
fitting_models/HPCCondSelfCstm.py	3.977406e-06	1
fitting_models/HPCFeed1SelfCstmLiqO2.py	2.464313e-07	2
fitting_models/HPCFeed1SelfCstmVapN2.py	6.846162e-08	2
fitting_models/HPCFeed1SelfCstmVapO2.py	2.144055e-07	2
fitting_models/HPCFeed1SelfCstmVapEtlp.py	7.194843e-02	1
fitting_models/HPCFeed1SelfCstmLiqEtlp.py	7.837783e-02	1
fitting_models/HPCFeed2SelfCstmLiqO2.py	8.248159e-06	1
fitting_models/HPCFeed2SelfCstmVapN2.py	8.455178e-06	1
fitting_models/HPCFeed2SelfCstmVapO2.py	8.369591e-06	1
fitting_models/HPCFeed2SelfCstmVapEtlp.py	2.067229e-02	1
fitting_models/HPCFeed2SelfCstmLiqEtlp.py	4.970126e-02	1
fitting_models/HPCSumpHdlpCstm.py	2.506125e-07	2
fitting_models/HPCSumpHdlpCstm.py	5.277378e-08	2
fitting_models/HPCSumpHdlpCstm.py	1.187487e-07	2
fitting_models/HPCSumpHdlpCstm.py	8.021588e-02	1
fitting_models/HPCSumpHdlpCstm.py	8.425271e-04	2
