pressure,temperature,nitrogen,oxygen
125.0,-168,-5489.752376788025,-5576.565787444957
125.0,-167,-5461.909887695941,-5547.7676351037035
125.0,-166,-5434.07169220106,-5518.978955807015
125.0,-165,-5406.237313214827,-5490.199274679133
125.0,-164,-5378.406294301239,-5461.428137279394
125.0,-163,-5350.578198545949,-5432.665108489086
125.0,-162,-5322.75260750069,-5403.909771471962
125.0,-161,-5294.929120197104,-5375.161726702648
125.0,-160,-5267.107352224593,-5346.420591057774
137.5,-192,-6171.077525925025,-6279.859150401021
137.5,-191,-6142.614997801082,-6250.467859479786
137.5,-190,-6114.19137088015,-6221.11523697443
137.5,-189,-6085.755457949598,-6191.802279832389
137.5,-188,-6057.404481626722,-6162.521832493124
137.5,-187,-6029.040613691336,-6133.279335862955
137.5,-186,-6000.7106609327275,-6104.069993058181
137.5,-185,-5972.412682656173,-6074.8921396816595
137.5,-184,-5944.105654450077,-6045.753008021864
137.5,-183,-5915.830976943528,-6016.6448179940635
137.5,-182,-5887.586864255321,-5987.566063140044
137.5,-181,-5859.371629072731,-5958.515319668679
137.5,-180,-5831.153107503641,-5929.505958746188
137.5,-179,-5803.109616756535,-5900.4468161106
137.5,-178,-5775.081146027314,-5871.407749835746
137.5,-177,-5747.066721508375,-5842.387797609863
137.5,-176,-5719.065419908869,-5813.386046639028
137.5,-175,-5691.07636510951,-5784.4016303957615
137.5,-174,-5663.098725087834,-5755.433725628144
137.5,-173,-5635.1317090881175,-5726.481549604749
137.5,-172,-5607.174565012957,-5697.544357573531
137.5,-171,-5579.226577016048,-5668.621440414965
137.5,-170,-5551.287063277828,-5639.7121224719995
137.5,-169,-5523.355373947571,-5610.815759541054
137.5,-168,-5495.430889237292,-5581.931737009966
137.5,-167,-5467.513017654175,-5553.0594681302455
137.5,-166,-5439.601194359715,-5524.198392412149
137.5,-165,-5411.694879644801,-5495.3479741323135
137.5,-164,-5383.793557511115,-5466.5077009446595
137.5,-163,-5355.896734350085,-5437.677082586072
137.5,-162,-5328.003937711489,-5408.8556496692945
137.5,-161,-5300.1147151545165,-5380.042952556074
137.5,-160,-5272.22863317482,-5351.238560304291
150.0,-191,-6151.0290047217795,-6258.250374981774
150.0,-190,-6122.440506287993,-6228.752274504442
150.0,-189,-6093.894557230595,-6199.295962773838
150.0,-188,-6065.388661545236,-6169.879259671464
150.0,-187,-6036.869930649207,-6140.504719308392
150.0,-186,-6008.439000081684,-6111.1620662921305
150.0,-185,-5979.994746713493,-6081.859920419401
150.0,-184,-5951.541329414283,-6052.6002346064515
150.0,-183,-5923.167357731574,-6023.36582853193
150.0,-182,-5894.784633744456,-5994.1733159712685
150.0,-181,-5866.435542614466,-5965.012746610076
150.0,-180,-5838.083103827379,-5935.897073980677
150.0,-179,-5809.798066970443,-5906.797318535484
150.0,-178,-5781.667649287499,-5877.658410668167
150.0,-177,-5753.554111695473,-5848.541370431948
150.0,-176,-5725.456408192379,-5819.44516731091
150.0,-175,-5697.3735472627895,-5790.368823981067
150.0,-174,-5669.304588247811,-5761.311412800343
150.0,-173,-5641.24863801069,-5732.272052581506
150.0,-172,-5613.204847869586,-5703.249905621127
150.0,-171,-5585.172410772286,-5674.244174960526
150.0,-170,-5557.150558690252,-5645.254101857357
150.0,-169,-5529.138560211947,-5616.278963448698
150.0,-168,-5501.135718317396,-5587.318070588487
150.0,-167,-5473.141368317893,-5558.370765843975
150.0,-166,-5445.154875946362,-5529.436421637394
150.0,-165,-5417.175635585396,-5500.514438520374
150.0,-164,-5389.203068621208,-5471.604243569968
150.0,-163,-5361.236621912966,-5442.7052888961425
150.0,-162,-5333.27576636796,-5413.817050251588
150.0,-161,-5305.319995613932,-5384.939025735555
150.0,-160,-5277.368824760817,-5356.070734584289
162.5,-190,-6130.8434302939395,-6236.452438176134
162.5,-189,-6102.131540727711,-6206.850976476748
162.5,-188,-6073.465743471789,-6177.294292356595
162.5,-187,-6044.787282667911,-6147.7840691178235
162.5,-186,-6016.20772204641,-6118.311040682858
162.5,-185,-5987.614789270388,-6088.882530045324
162.5,-184,-5959.062196044796,-6059.49251102895
162.5,-183,-5930.547713016092,-6030.13908437905
162.5,-182,-5902.024278835247,-6000.831124162333
162.5,-181,-5873.539400016067,-5971.55916893375
162.5,-180,-5845.0910304165345,-5942.321501418491
162.5,-179,-5816.639938917455,-5913.13248399967
162.5,-178,-5788.296193542574,-5883.942626892507
162.5,-177,-5760.081586955538,-5854.726841537891
162.5,-176,-5731.8856375438,-5825.534625920824
162.5,-175,-5703.707230560217,-5796.364885112446
162.5,-174,-5675.545309529827,-5767.216580840912
162.5,-173,-5647.398872346993,-5738.088727737026
162.5,-172,-5619.266967692449,-5708.980389884094
162.5,-171,-5591.148691739234,-5679.890677642918
162.5,-170,-5563.043185119987,-5650.818744725956
162.5,-169,-5534.949630131087,-5621.763785497566
162.5,-168,-5506.867248151799,-5592.725032479651
162.5,-167,-5478.795297258849,-5563.701754044278
162.5,-166,-5450.733070018982,-5534.693252276719
162.5,-165,-5422.679891443747,-5505.698860993976
162.5,-164,-5394.635117092507,-5476.717943905507
162.5,-163,-5366.598131310887,-5447.749892904034
162.5,-162,-5338.5683455933295,-5418.794126475619
162.5,-161,-5310.5451970593285,-5389.850088219115
162.5,-160,-5282.528147034119,-5360.917245466167
175.0,-190,-6139.284501805362,-6244.2201451889405
175.0,-189,-6110.403359508588,-6214.470485673551
175.0,-188,-6081.574653136787,-6184.771021855564
175.0,-187,-6052.795346219174,-6155.119126790054
175.0,-186,-6024.062605177592,-6125.512345219422
175.0,-185,-5995.316534721209,-6095.954156312497
175.0,-184,-5966.616276214939,-6066.439033730283
175.0,-183,-5937.959315093185,-6036.964843849018
175.0,-182,-5909.343289928173,-6007.5295810278485
175.0,-181,-5880.718522792607,-5978.14322214899
175.0,-180,-5852.135173951257,-5948.795188986543
175.0,-179,-5823.591078227133,-5919.483668635662
175.0,-178,-5795.08419065884,-5890.2069481978115
175.0,-177,-5766.649926776011,-5860.944733368036
175.0,-176,-5738.3538281066285,-5831.65490235637
175.0,-175,-5710.078080905356,-5802.390254921019
175.0,-174,-5681.821505204954,-5773.149635544118
175.0,-173,-5653.58298290083,-5743.931948613264
175.0,-172,-5625.361453588724,-5714.736154438076
175.0,-171,-5597.155910745459,-5685.561265591017
175.0,-170,-5568.9653982193595,-5656.406343541268
175.0,-169,-5540.789007000509,-5627.270495553855
175.0,-168,-5512.625872244589,-5598.152871829375
175.0,-167,-5484.475170526676,-5569.052662862214
175.0,-166,-5456.336117304028,-5539.9690969974945
175.0,-165,-5428.207964569002,-5510.90143816915
175.0,-164,-5400.089998675314,-5481.848983803175
175.0,-163,-5371.981538322454,-5452.8110628718505
175.0,-162,-5343.881932684701,-5423.787034086037
175.0,-161,-5315.7905596723895,-5394.776284214033
175.0,-160,-5287.7068243144995,-5365.7782265164315
187.5,-189,-6118.767299263297,-6222.153851792688
187.5,-188,-6089.840163520462,-6192.305974576943
187.5,-187,-6060.8296630961295,-6162.51461832019
187.5,-186,-6031.94124277358,-6132.771673372788
187.5,-185,-6003.102366842774,-6103.076344245262
187.5,-184,-5974.250094734403,-6073.432901071085
187.5,-183,-5945.446574739759,-6043.834933282334
187.5,-182,-5916.689159408343,-6014.280201238234
187.5,-181,-5887.975362951982,-5984.766599908494
187.5,-180,-5859.253026518575,-5955.30525951311
187.5,-179,-5830.574832553681,-5925.884441621
187.5,-178,-5801.938503739674,-5896.502243749706
187.5,-177,-5773.300669159261,-5867.175970436188
187.5,-176,-5744.861722806678,-5837.806489159807
187.5,-175,-5716.486784599095,-5808.445385766381
187.5,-174,-5688.13380982821,-5779.110992676825
187.5,-173,-5659.801556884417,-5749.802097617439
187.5,-172,-5631.488849407158,-5720.517551246362
187.5,-171,-5603.194571877735,-5691.256262957206
187.5,-170,-5574.917665577064,-5662.017197025532
187.5,-169,-5546.657124872671,-5632.79936906505
187.5,-168,-5518.411993803134,-5603.601842764061
187.5,-167,-5490.181362931845,-5574.423726875931
187.5,-166,-5461.964366444896,-5545.264172440205
187.5,-165,-5433.760179470717,-5516.122370213446
187.5,-164,-5405.568015601418,-5486.997548291092
187.5,-163,-5377.3871245978335,-5457.8889699035
187.5,-162,-5349.216790262238,-5428.7959313711035
187.5,-161,-5321.056328464137,-5399.717760205111
187.5,-160,-5292.9050853062245,-5370.653813341452
200.0,-188,-6098.13147222849,-6199.90486747891
200.0,-187,-6069.021425876151,-6169.965523173104
200.0,-186,-6039.970302447009,-6140.081758850775
200.0,-185,-6010.906778821468,-6110.255544481608
200.0,-184,-5981.965936063896,-6080.475591990581
200.0,-183,-5953.011620163429,-6050.750725490715
200.0,-182,-5924.108838038477,-6021.073599554405
200.0,-181,-5895.25481780134,-5991.441876073575
200.0,-180,-5866.446957152287,-5961.85335765182
200.0,-179,-5837.630749599135,-5932.320376374303
200.0,-178,-5808.861270926598,-5902.829992323037
200.0,-177,-5780.136138632928,-5873.380219479352
200.0,-176,-5751.410088370804,-5843.989891995353
200.0,-175,-5722.93404922238,-5814.5307416364885
200.0,-174,-5694.482877004561,-5785.101078321101
200.0,-173,-5666.055198584109,-5755.699566315873
200.0,-172,-5637.649714317554,-5726.324940412181
200.0,-171,-5609.265192986099,-5696.976001134194
200.0,-170,-5580.900467158931,-5667.651610346321
200.0,-169,-5552.554428942133,-5638.350687220566
200.0,-168,-5524.226026075082,-5609.072204528966
200.0,-167,-5495.91425834089,-5579.815185229983
200.0,-166,-5467.618174260819,-5550.578699321365
200.0,-165,-5439.336868046168,-5521.361860934785
200.0,-164,-5411.069476783856,-5492.163825650314
200.0,-163,-5382.815177834488,-5462.983788011011
200.0,-162,-5354.5731864239315,-5433.82097922001
200.0,-161,-5326.342753411344,-5404.674665004197
200.0,-160,-5298.123163218395,-5375.544143630308
212.5,-188,-6106.5152202033705,-6207.567207688559
212.5,-187,-6077.23323120375,-6177.4789114647165
212.5,-186,-6048.0168557645975,-6147.451823500843
212.5,-185,-6018.862330354721,-6117.482729864796
212.5,-184,-5989.695350513062,-6087.574373415031
212.5,-183,-5960.656639285625,-6057.71363589688
212.5,-182,-5931.60436550027,-6027.911090921924
