pressure,temperature,nitrogen,oxygen
162.5,-197,-13314.242226970342,-11974.393551676761
162.5,-196,-13266.661190353952,-11921.490406242245
162.5,-195,-13218.978692203294,-11868.307163047897
162.5,-194,-13171.189944286578,-11814.828487340244
162.5,-193,-13123.290136809048,-11761.038161140148
162.5,-192,-13075.274440569665,-11706.918991981012
162.5,-191,-13028.858516031263,-11648.73816669351
162.5,-190,-12983.772800641178,-11585.664773294864
162.5,-189,-12937.211862805183,-11524.452712087776
162.5,-188,-12890.27345924497,-11462.376060690702
162.5,-187,-12842.929087936827,-11399.382011232894
162.5,-186,-12794.838670143063,-11337.579864863364
162.5,-185,-12746.402414159716,-11275.0833147849
162.5,-184,-12697.602740295728,-11211.861758072819
162.5,-183,-12648.263490645322,-11150.427894307659
162.5,-182,-12598.744751298926,-11085.820342717208
162.5,-181,-12548.691146728737,-11025.93771499835
162.5,-180,-12498.435273963567,-10962.846391723595
175.0,-200,-13456.205050129756,-12131.336170355225
175.0,-199,-13408.90102020935,-12079.192971152968
175.0,-198,-13361.509799268899,-12026.811390756056
175.0,-197,-13314.026664867986,-11974.178304589346
175.0,-196,-13266.446873723107,-11921.279927183421
175.0,-195,-13218.765660396166,-11868.101746487997
175.0,-194,-13170.978236926543,-11814.628450925069
175.0,-193,-13123.079793584735,-11760.843848088205
175.0,-192,-13075.065500980238,-11706.730773795445
175.0,-191,-13026.930513805655,-11652.270989973606
175.0,-190,-12981.442826836266,-11591.214950147532
175.0,-189,-12935.55150324916,-11529.075079794571
175.0,-188,-12888.759054039767,-11467.473613914673
175.0,-187,-12841.579716689468,-11404.991105678062
175.0,-186,-12793.984395322963,-11341.5737180112
175.0,-185,-12745.652723175626,-11279.352271328287
175.0,-184,-12696.965480369816,-11216.421633767555
175.0,-183,-12647.904730734426,-11152.750589260584
175.0,-182,-12598.316219117276,-11090.878124555702
175.0,-181,-12548.424003006117,-11028.456606239484
175.0,-180,-12498.216590408492,-10965.46838440408
175.0,-179,-12447.658673728034,-10904.684291400004
187.5,-200,-13455.985967748738,-12131.108142325924
187.5,-199,-13408.68306813249,-12078.968943632137
187.5,-198,-13361.293015204468,-12026.591600226262
187.5,-197,-13313.811087191,-11973.963004982057
187.5,-196,-13266.23254137419,-11921.069391557989
187.5,-195,-13218.552612754796,-11867.896268913033
187.5,-194,-13170.766513648248,-11814.428348597066
187.5,-193,-13122.86943439867,-11760.649463720498
187.5,-192,-13074.856545435658,-11706.542478322883
187.5,-191,-13026.72300095635,-11652.089185622737
187.5,-190,-12979.025678638222,-11596.103514934914
187.5,-189,-12933.297016612521,-11534.674513921633
187.5,-188,-12887.156537754203,-11472.142292397182
187.5,-187,-12840.124398502707,-11410.142045293049
187.5,-186,-12792.69584518293,-11347.244041275719
187.5,-185,-12744.841166310935,-11283.39338359678
187.5,-184,-12696.259848728494,-11220.74137231348
187.5,-183,-12647.31303634059,-11157.365086381918
187.5,-182,-12597.808122983119,-11095.672857817712
187.5,-181,-12548.002646692143,-11033.437557376663
187.5,-180,-12497.885256144189,-10970.641800410454
187.5,-179,-12447.44423053702,-10907.267610825855
187.5,-178,-12396.6674564458,-10843.296385221773
200.0,-200,-13455.766872362135,-12130.880073141627
200.0,-199,-13408.465102864266,-12078.744871884564
200.0,-198,-13361.07621777667,-12026.371762108636
200.0,-197,-13313.595495994701,-11973.747654104454
200.0,-196,-13266.018195371244,-11920.85880062031
200.0,-195,-13218.339551350364,-11867.690731583105
200.0,-194,-13170.55477653037,-11814.228181621891
200.0,-193,-13122.659061336373,-11760.455009309144
200.0,-192,-13074.6475760269,-11706.354106842524
