Place	P	T	L	V	x_N2	x_O2	x_Ar	y_N2	y_O2	y_Ar	LiqEtlp	LiqRho	LiqMass	VapEtlp	VapRho	VapMass
10__Main Tower	548.424390243903	-175.193785323992	1529.37286993606	3344.28597689171	0.722516756923432	0.265916101261596	0.0115671418149711	0.865170315221035	0.127584698471702	0.00724498630726284	-11122.9644863698	27.4452603766003	29.2112617076161	-5983.4986155946	0.777851355385188	28.6081495403174
10__Main Tower	548.424390243903	-175.147692604792	1434.92169337967	3340.64387040993	0.718226400301135	0.270138978685222	0.0116346210136435	0.862758244535931	0.129935253369133	0.00730650209493656	-11126.5040414752	27.4749252062491	29.228903682171	-5981.71877657287	0.777360578247181	28.6182553925561
10__Main Tower	548.424390243903	-177.623233562413	2197.46798268317	3475.24116468541	0.966214638562987	0.0274076638748131	0.00637769756219992	0.984959728833222	0.0115541194101847	0.00348615175659316	-10918.3739485845	25.7998611356691	28.1983926599308	-6078.09710378345	0.804873422894488	28.1006739827304
10__Main Tower	548.424390243903	-177.483091791984	2096.78986402103	3468.28707604746	0.950684154135579	0.040296263937978	0.00901958192644267	0.977927042298416	0.0171075560543273	0.00496540164725623	-10927.3243126092	25.9005240688827	28.2813103956047	-6070.69172262856	0.803244368462804	28.1404703813955
10__Main Tower	548.424390243903	-177.266638901145	1991.06778193236	3455.22701623871	0.927019955431713	0.0603104969664945	0.0126695476017924	0.967058176021543	0.0258886155958691	0.00705320838258758	-10941.6206431037	26.0547632568117	28.4046694782645	-6059.56701107176	0.800746801173749	28.2003984377533
10__Main Tower	548.424390243903	-176.93423062959	1882.91361547508	3437.48112391704	0.891560751239727	0.0916362104401456	0.0168030383201276	0.950458509678856	0.040020075472247	0.00952141484889719	-10965.4248727946	26.2884328955913	28.5788982999881	-6043.63691113433	0.796953906154317	28.2861986089453
10__Main Tower	548.424390243903	-176.404746198854	1764.05575041443	3408.52292063365	0.837405768856053	0.143822424008784	0.018771807135163	0.924461558031231	0.0645856748858974	0.0109527670828716	-11009.6286493606	26.652047929865	28.8104619665158	-6022.09159766772	0.791008464524952	28.4012248326908
10__Main Tower	548.424390243903	-175.534093656552	1632.29608156694	3360.31233763866	0.753751011998088	0.23221942067886	0.014029567323052	0.88207352497349	0.109316150460392	0.00861032456611827	-11091.4973258724	27.2275515612392	29.1063021104068	-5993.8567398783	0.781490951450119	28.5516081623109
10__Main Tower	548.424390243903	-175.194096518238	1529.34262399683	3344.2600166168	0.722545241900769	0.265887180396833	0.0115675777023986	0.865186341851815	0.127568534154713	0.00724512399347243	-11122.9393093359	27.4450627791909	29.2111516024595	-5983.5097756407	0.777854665492374	28.6080867364785
10__Main Tower	548.424390243903	-175.144206759015	1435.52659288592	3341.41446208593	0.717921146831272	0.270447579802922	0.011631273365806	0.862577803488307	0.130116051815792	0.00730614469590104	-11126.7710189001	27.477043243192	29.230094120495	-5981.5919588212	0.777323557501797	28.6189719703166
